GENE	LINEAGE	GENE_ID	GENE_TYPE
ABCA10	Gibbon	ENSG00000154263	protein_coding
ABCA10	Owl_monkey	ENSG00000154263	protein_coding
ABCA9	Gibbon	ENSG00000154258	protein_coding
ABCA9	Marmoset	ENSG00000154258	protein_coding
ABCA9	Owl_monkey	ENSG00000154258	protein_coding
ABCC12	Marmoset	ENSG00000140798	protein_coding
ABCC12	Owl_monkey	ENSG00000140798	protein_coding
ABCG1	Gibbon	ENSG00000160179	protein_coding
ABCG1	Marmoset	ENSG00000160179	protein_coding
AC007846.2	Gibbon	ENSG00000285471	protein_coding
AC007846.2	Macaque_indian	ENSG00000285471	protein_coding
AC007846.2	Marmoset	ENSG00000285471	protein_coding
AC007846.2	Owl_monkey	ENSG00000285471	protein_coding
ACAN	Gibbon	ENSG00000157766	protein_coding
ACAN	Macaque_indian	ENSG00000157766	protein_coding
ACAN	Marmoset	ENSG00000157766	protein_coding
ACAN	Owl_monkey	ENSG00000157766	protein_coding
ACYP2	Macaque_indian	ENSG00000170634	protein_coding
ACYP2	Marmoset	ENSG00000170634	protein_coding
ACYP2	Owl_monkey	ENSG00000170634	protein_coding
ADGRG4	Macaque_indian	ENSG00000156920	protein_coding
ADGRG4	Marmoset	ENSG00000156920	protein_coding
ADGRG4	Owl_monkey	ENSG00000156920	protein_coding
AHNAK	Gibbon	ENSG00000124942	protein_coding
AHNAK	Orangutan	ENSG00000124942	protein_coding
AHNAK	Owl_monkey	ENSG00000124942	protein_coding
AIMP2	Bonobo	ENSG00000106305	protein_coding
AIMP2	Chimpanzee	ENSG00000106305	protein_coding
AKAP1	Gibbon	ENSG00000121057	protein_coding
AKAP1	Marmoset	ENSG00000121057	protein_coding
AKAP1	Owl_monkey	ENSG00000121057	protein_coding
ALG8	Macaque_indian	ENSG00000159063	protein_coding
ALG8	Marmoset	ENSG00000159063	protein_coding
ALG8	Owl_monkey	ENSG00000159063	protein_coding
ALLC	Marmoset	ENSG00000151360	protein_coding
ALLC	Owl_monkey	ENSG00000151360	protein_coding
ANKAR	Marmoset	ENSG00000151687	protein_coding
ANKAR	Owl_monkey	ENSG00000151687	protein_coding
ARHGEF9	Macaque_indian	ENSG00000131089	protein_coding
ARHGEF9	Orangutan	ENSG00000131089	protein_coding
ATAD3C	Orangutan	ENSG00000215915	protein_coding
ATAD3C	Bonobo	ENSG00000215915	protein_coding
ATAD3C	Chimpanzee	ENSG00000215915	protein_coding
ATP11A	Gorilla	ENSG00000068650	protein_coding
ATP11A	Marmoset	ENSG00000068650	protein_coding
C2orf16	Gibbon	ENSG00000221843	protein_coding
C2orf16	Marmoset	ENSG00000221843	protein_coding
C9orf131	Marmoset	ENSG00000174038	protein_coding
C9orf131	Owl_monkey	ENSG00000174038	protein_coding
C9orf43	Chimpanzee	ENSG00000157653	protein_coding
C9orf43	Marmoset	ENSG00000157653	protein_coding
C9orf85	Marmoset	ENSG00000155621	protein_coding
C9orf85	Owl_monkey	ENSG00000155621	protein_coding
CALD1	Gibbon	ENSG00000122786	protein_coding
CALD1	Owl_monkey	ENSG00000122786	protein_coding
CCDC163	Orangutan	ENSG00000280670	protein_coding
CCDC163	Gorilla	ENSG00000280670	protein_coding
CCDC163	Gibbon	ENSG00000280670	protein_coding
CCDC163	Macaque_indian	ENSG00000280670	protein_coding
CCDC163	Marmoset	ENSG00000280670	protein_coding
CCDC163	Owl_monkey	ENSG00000280670	protein_coding
CCDC168	Macaque_indian	ENSG00000175820	protein_coding
CCDC168	Marmoset	ENSG00000175820	protein_coding
CCDC168	Owl_monkey	ENSG00000175820	protein_coding
CCDC187	Gibbon	ENSG00000260220	protein_coding
CCDC187	Marmoset	ENSG00000260220	protein_coding
CCDC30	Gibbon	ENSG00000186409	protein_coding
CCDC30	Marmoset	ENSG00000186409	protein_coding
CCDC40	Owl_monkey	ENSG00000141519	protein_coding
CCDC40	Bonobo	ENSG00000141519	protein_coding
CCDC40	Chimpanzee	ENSG00000141519	protein_coding
CCDC7	Gibbon	ENSG00000216937	protein_coding
CCDC7	Orangutan	ENSG00000216937	protein_coding
CCNB3	Macaque_indian	ENSG00000147082	protein_coding
CCNB3	Marmoset	ENSG00000147082	protein_coding
CCNB3	Owl_monkey	ENSG00000147082	protein_coding
CD200R1L	Marmoset	ENSG00000206531	protein_coding
CD200R1L	Owl_monkey	ENSG00000206531	protein_coding
CD55	Macaque_indian	ENSG00000196352	protein_coding
CD55	Owl_monkey	ENSG00000196352	protein_coding
CENPF	Marmoset	ENSG00000117724	protein_coding
CES4A	Gibbon	ENSG00000172824	protein_coding
CES4A	Macaque_indian	ENSG00000172824	protein_coding
CHI3L2	Marmoset	ENSG00000064886	protein_coding
CHI3L2	Owl_monkey	ENSG00000064886	protein_coding
CLEC12A	Gorilla	ENSG00000172322	protein_coding
CLEC12A	Macaque_indian	ENSG00000172322	protein_coding
CRYBG3	Gorilla	ENSG00000080200	protein_coding
CRYBG3	Marmoset	ENSG00000080200	protein_coding
CRYBG3	Owl_monkey	ENSG00000080200	protein_coding
DEDD	Marmoset	ENSG00000158796	protein_coding
